country,university,link,abbre
AU,Edith Cowan University,http://www.ecu.edu.au/,ecu
AU,Flinders University of South Australia,http://www.flinders.edu.au/,flinders
AU,Griffith University,http://www.gu.edu.au/,gu
AU,Holmes Institute,http://www.holmes.edu.au/,holmes
AU,"Institute Of Technology, Australia",http://www.iota.edu.au/,iota
AU,International College of Tourism and Hotel Management,http://www.icthm.edu.au/,icthm
AU,James Cook University of North Queensland,http://www.jcu.edu.au/,jcu
AU,La Trobe University,http://www.latrobe.edu.au/,latrobe
AU,Macquarie University,http://www.mq.edu.au/,mq
AU,Marcus Oldham College,http://www.marcusoldham.vic.edu.au/,marcusoldham
AU,Monash University,http://www.monash.edu.au/,monash
AU,Murdoch University,http://www.murdoch.edu.au/,murdoch
AU,Queensland University of Technology,http://www.qut.edu.au/,qut
AU,Royal Melbourne Institute of Technology,http://www.rmit.edu.au/,rmit
AU,Southern Cross University,http://www.scu.edu.au/,scu
AU,Swinburne University of Technology,http://www.swin.edu.au/,swin
AU,University of Adelaide,http://www.adelaide.edu.au/,adelaide
AU,University of Ballarat,http://www.ballarat.edu.au/,ballarat
AU,University of Canberra,http://www.canberra.edu.au/,canberra
AU,University of Divinity,http://www.divinity.edu.au/,divinity
AU,University of Melbourne,http://www.unimelb.edu.au/,unimelb
AU,University of Newcastle,http://www.newcastle.edu.au/,newcastle
AU,University of New England,http://www.une.edu.au/,une
AU,University of New South Wales,http://www.unsw.edu.au/,unsw
AU,University of Notre Dame Australia,http://www.nd.edu.au/,nd
AU,University of Queensland,http://www.uq.edu.au/,uq
AU,University of South Australia,http://www.unisa.edu.au/,unisa
AU,University of Southern Queensland,http://www.usq.edu.au/,usq
AU,University of Sydney,http://www.usyd.edu.au/,usyd
AU,University of Tasmania,http://www.utas.edu.au/,utas
AU,University of Technology Sydney,http://www.uts.edu.au/,uts
AU,University of the Sunshine Coast,http://www.usc.edu.au/,usc
AU,University of Western Australia,http://www.uwa.edu.au/,uwa
AU,University of Western Sydney,http://www.uws.edu.au/,uws
AU,University of Wollongong,http://www.uow.edu.au/,uow
AZ,Academy of Public Administration,http://www.dia.edu.az/,dia
AZ,Azerbaijan Diplomatic Academy,http://www.ada.edu.az/,ada
AZ,Azerbaijan International University,http://www.abu.az/,abu
AZ,Azerbaijan Medical University,http://www.amu.edu.az/,amu
AZ,Azerbaijan National Conservatorie,http://www.conservatory.az/,conservatory
AZ,Azerbaijan State Economic University,http://www.aseu.az/,aseu
AZ,Azerbaijan State Oil Academy,http://adna.jis.az/,jis
AZ,Azerbaijan Technical University,http://www.aztu.az/,aztu
AZ,Azerbaijan Technology University,http://www.aztu.edu.az/,aztu
AZ,Azerbaijan Toursim Institute,http://www.tourism.edu.az/,tourism
AZ,Azerbaijan University,http://www.au.edu.az/,au
AZ,Azerbaijan University ol Languages,http://www.adu.edu.az/,adu
AZ,Baki Business University,http://www.bbu.edu.az/,bbu
AZ,Baku Slavic University,http://www.bsu-edu.org/,bsu-edu
AZ,Baku State University,http://www.bsu.az/,bsu
AZ,Ganja State University ,http://www.gsu.az/,gsu
AZ,Khazar University,http://www.khazar.org/,khazar
AZ,Lankaran State University,http://www.lsu.edu.az/,lsu
